year,estratopri,ur,sexo_std,etid,wealth,wc1,wc2,wc3,l1,pn4,eff1,eff2,cp6,cp13,colcp8a,prot3,exc13,exc14,exc15,exc16,exc18,exc20,exc07
2004,Bogotá D.C.,Urbano,Mujer,Negra,3,No,Sí,No,,Muy insatisfecho(a),,,Una vez a la semana,Nunca,Una o dos veces al mes,,,,No,No,,,Poco generalizada
2004,Caribe,Urbano,Mujer,Indígena,3,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,,No,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Negra,3,No,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,3,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Una o dos veces al mes,,,No,No,No,,,Muy generalizada
2004,Pacífica,Urbano,Mujer,Negra,4,No,No,No,,Insatisfecho(a),,,Nunca,Una o dos veces al año,Nunca,,No,,,,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Mestiza,4,No,Sí,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,No,No,,,Poco generalizada
2004,Caribe,Rural,Hombre,Blanca,Menos rico,Sí,No,No,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Muy generalizada
2004,Caribe,Urbano,Mujer,Blanca,2,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,Sí,,Sí,No,,,Algo generalizada
2004,Andina,Urbano,Hombre,Blanca,4,Sí,No,Sí,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,No,No,,,,Muy generalizada
2004,Pacífica,Rural,Mujer,Blanca,3,No,No,No,,Insatisfecho(a),,,Una o dos veces al mes,Nunca,Una o dos veces al año,,,,No,No,,,Muy generalizada
2004,Andina,Rural,Mujer,Blanca,Menos rico,Sí,No,No,,Satisfecho(a),,,Nunca,Nunca,Una o dos veces al mes,,,,No,No,,,
2004,Andina,Rural,Hombre,Mestiza,Menos rico,Sí,No,No,,Satisfecho(a),,,Nunca,Una o dos veces al año,Una o dos veces al año,,No,,No,No,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,Menos rico,No,No,No,,Satisfecho(a),,,Una o dos veces al año,Una o dos veces al mes,Una o dos veces al mes,,,,No,No,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,4,No,No,No,,Muy satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,No,,,,Muy generalizada
2004,Andina,Urbano,Hombre,Blanca,3,No,No,No,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,No,,Sí,,,,Nada generalizada
